evaluation_year,strategy,policy,cost_fn,cost_fp,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,cost_per_10000,average_precision,roc_auc
2016,smotenc,costo,5,1,0.5708684424065286,63,135,163,87424,87785,0.3181818181818182,0.27876106194690264,0.2971698113207547,198,22.555106225437147,15.37848151734351,950,108.2189440109358,0.2195634323204813,0.8782765138288042
2016,smotenc,f1_validacion,5,1,0.5679413660812306,64,142,162,87417,87785,0.3106796116504854,0.2831858407079646,0.2962962962962963,206,23.466423648687133,16.175884262687248,952,108.4467733667483,0.2195634323204813,0.8782765138288042
2016,smotenc,referencia_007217143,5,1,0.07217143,210,68539,16,19020,87785,0.003054589884943781,0.9292035398230089,0.006089162740123233,68749,7831.520191376659,7807.598109016347,68619,7816.7112832488465,0.2195634323204813,0.8782765138288042
2016,smotenc,costo,10,1,0.5271774704782441,89,241,137,87318,87785,0.2696969696969697,0.3938053097345133,0.32014388489208634,330,37.59184370906191,27.45343737540582,1611,183.51654610696588,0.2195634323204813,0.8782765138288042
2016,smotenc,f1_validacion,10,1,0.5679413660812306,64,142,162,87417,87785,0.3106796116504854,0.2831858407079646,0.2962962962962963,206,23.466423648687133,16.175884262687248,1762,200.71766247080936,0.2195634323204813,0.8782765138288042
2016,smotenc,referencia_007217143,10,1,0.07217143,210,68539,16,19020,87785,0.003054589884943781,0.9292035398230089,0.006089162740123233,68749,7831.520191376659,7807.598109016347,68699,7825.824457481346,0.2195634323204813,0.8782765138288042
2016,smotenc,costo,25,1,0.4044515371415137,132,732,94,86827,87785,0.1527777777777778,0.584070796460177,0.24220183486238533,864,98.42228171099846,83.3855442273737,3082,351.085037307057,0.2195634323204813,0.8782765138288042
2016,smotenc,f1_validacion,25,1,0.5679413660812306,64,142,162,87417,87785,0.3106796116504854,0.2831858407079646,0.2962962962962963,206,23.466423648687133,16.175884262687248,4192,477.53032978299257,0.2195634323204813,0.8782765138288042
2016,smotenc,referencia_007217143,25,1,0.07217143,210,68539,16,19020,87785,0.003054589884943781,0.9292035398230089,0.006089162740123233,68749,7831.520191376659,7807.598109016347,68939,7853.163980178845,0.2195634323204813,0.8782765138288042
2016,smotenc,costo,50,1,0.35343942629515934,154,1093,72,86466,87785,0.12349639133921411,0.6814159292035398,0.2090970807875085,1247,142.05160334909152,124.5087429515293,4693,534.6015834140229,0.2195634323204813,0.8782765138288042
2016,smotenc,f1_validacion,50,1,0.5679413660812306,64,142,162,87417,87785,0.3106796116504854,0.2831858407079646,0.2962962962962963,206,23.466423648687133,16.175884262687248,8242,938.8847753032978,0.2195634323204813,0.8782765138288042
2016,smotenc,referencia_007217143,50,1,0.07217143,210,68539,16,19020,87785,0.003054589884943781,0.9292035398230089,0.006089162740123233,68749,7831.520191376659,7807.598109016347,69339,7898.729851341345,0.2195634323204813,0.8782765138288042
2016,smotenc,costo,100,1,0.3361464668481483,158,1378,68,86181,87785,0.10286458333333333,0.6991150442477876,0.1793416572077185,1536,174.97294526399727,156.97442615481006,8178,931.594235917298,0.2195634323204813,0.8782765138288042
2016,smotenc,f1_validacion,100,1,0.5679413660812306,64,142,162,87417,87785,0.3106796116504854,0.2831858407079646,0.2962962962962963,206,23.466423648687133,16.175884262687248,16342,1861.5936663439084,0.2195634323204813,0.8782765138288042
