evaluation_year,strategy,cost_fn,hypothetical_alert_budget_per_10000,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2015,smotenc,100,100,0.40176406530730474,34.0,800.0,19.0,85810.0,834.0,86663.0,0.0407673860911271,0.6415094339622641,0.07666290868094701,96.23484070479904,2700.0
2015,smotenc,100,250,0.3854012022840137,36.0,925.0,17.0,85685.0,961.0,86663.0,0.037460978147762745,0.6792452830188679,0.07100591715976332,110.88930685529003,2625.0
2015,pesos_clase,5,10,0.8187729943545314,3.0,10.0,50.0,86600.0,13.0,86663.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,1.5000634642234862,260.0
2015,pesos_clase,5,25,0.8187729943545314,3.0,10.0,50.0,86600.0,13.0,86663.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,1.5000634642234862,260.0
2015,pesos_clase,5,50,0.8187729943545314,3.0,10.0,50.0,86600.0,13.0,86663.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,1.5000634642234862,260.0
2015,pesos_clase,5,100,0.8187729943545314,3.0,10.0,50.0,86600.0,13.0,86663.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,1.5000634642234862,260.0
2015,pesos_clase,5,250,0.8187729943545314,3.0,10.0,50.0,86600.0,13.0,86663.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,1.5000634642234862,260.0
2015,pesos_clase,10,10,0.7397769367966599,10.0,72.0,43.0,86538.0,82.0,86663.0,0.12195121951219512,0.18867924528301888,0.14814814814814814,9.46193877433276,502.0
2015,pesos_clase,10,25,0.7159845724600464,14.0,108.0,39.0,86502.0,122.0,86663.0,0.11475409836065574,0.2641509433962264,0.16,14.07751866425118,498.0
2015,pesos_clase,10,50,0.7159845724600464,14.0,108.0,39.0,86502.0,122.0,86663.0,0.11475409836065574,0.2641509433962264,0.16,14.07751866425118,498.0
2015,pesos_clase,10,100,0.7159845724600464,14.0,108.0,39.0,86502.0,122.0,86663.0,0.11475409836065574,0.2641509433962264,0.16,14.07751866425118,498.0
2015,pesos_clase,10,250,0.7159845724600464,14.0,108.0,39.0,86502.0,122.0,86663.0,0.11475409836065574,0.2641509433962264,0.16,14.07751866425118,498.0
2015,pesos_clase,25,10,0.7397769367966599,10.0,72.0,43.0,86538.0,82.0,86663.0,0.12195121951219512,0.18867924528301888,0.14814814814814814,9.46193877433276,1147.0
2015,pesos_clase,25,25,0.7159845724600464,14.0,108.0,39.0,86502.0,122.0,86663.0,0.11475409836065574,0.2641509433962264,0.16,14.07751866425118,1083.0
2015,pesos_clase,25,50,0.6051404501238555,27.0,392.0,26.0,86218.0,419.0,86663.0,0.06443914081145585,0.5094339622641509,0.11440677966101695,48.34819934689544,1042.0
2015,pesos_clase,25,100,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1038.0
2015,pesos_clase,25,250,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1038.0
2015,pesos_clase,50,10,0.7397769367966599,10.0,72.0,43.0,86538.0,82.0,86663.0,0.12195121951219512,0.18867924528301888,0.14814814814814814,9.46193877433276,2222.0
2015,pesos_clase,50,25,0.6790446621621683,16.0,174.0,37.0,86436.0,190.0,86663.0,0.08421052631578947,0.3018867924528302,0.13168724279835392,21.924004477112494,2024.0
2015,pesos_clase,50,50,0.6051404501238555,27.0,392.0,26.0,86218.0,419.0,86663.0,0.06443914081145585,0.5094339622641509,0.11440677966101695,48.34819934689544,1692.0
2015,pesos_clase,50,100,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1463.0
2015,pesos_clase,50,250,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1463.0
2015,pesos_clase,100,10,0.7397769367966599,10.0,72.0,43.0,86538.0,82.0,86663.0,0.12195121951219512,0.18867924528301888,0.14814814814814814,9.46193877433276,4372.0
2015,pesos_clase,100,25,0.6790446621621683,16.0,174.0,37.0,86436.0,190.0,86663.0,0.08421052631578947,0.3018867924528302,0.13168724279835392,21.924004477112494,3874.0
2015,pesos_clase,100,50,0.6051404501238555,27.0,392.0,26.0,86218.0,419.0,86663.0,0.06443914081145585,0.5094339622641509,0.11440677966101695,48.34819934689544,2992.0
2015,pesos_clase,100,100,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,2313.0
2015,pesos_clase,100,250,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,2313.0
2016,sin_balanceo,5,10,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0
2016,sin_balanceo,5,25,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0
2016,sin_balanceo,5,50,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0
2016,sin_balanceo,5,100,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0
2016,sin_balanceo,5,250,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0
2016,sin_balanceo,10,10,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,1339.0
2016,sin_balanceo,10,25,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,1339.0
2016,sin_balanceo,10,50,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,1339.0
2016,sin_balanceo,10,100,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,1339.0
2016,sin_balanceo,10,250,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,1339.0
2016,sin_balanceo,25,10,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,3334.0
2016,sin_balanceo,25,25,0.28233452434572937,58.0,31.0,132.0,87849.0,89.0,88070.0,0.651685393258427,0.30526315789473685,0.4157706093189964,10.105597819915976,3331.0
2016,sin_balanceo,25,50,0.28233452434572937,58.0,31.0,132.0,87849.0,89.0,88070.0,0.651685393258427,0.30526315789473685,0.4157706093189964,10.105597819915976,3331.0
2016,sin_balanceo,25,100,0.28233452434572937,58.0,31.0,132.0,87849.0,89.0,88070.0,0.651685393258427,0.30526315789473685,0.4157706093189964,10.105597819915976,3331.0
2016,sin_balanceo,25,250,0.28233452434572937,58.0,31.0,132.0,87849.0,89.0,88070.0,0.651685393258427,0.30526315789473685,0.4157706093189964,10.105597819915976,3331.0
2016,sin_balanceo,50,10,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,6659.0
2016,sin_balanceo,50,25,0.26842483935344047,62.0,158.0,128.0,87722.0,220.0,88070.0,0.2818181818181818,0.3263157894736842,0.3024390243902439,24.98012944248893,6558.0
2016,sin_balanceo,50,50,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,6517.0
2016,sin_balanceo,50,100,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,6517.0
2016,sin_balanceo,50,250,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,6517.0
2016,sin_balanceo,100,10,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,13309.0
