evaluation_year,strategy,cost_fn,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2016,sin_balanceo,50,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,6517.0
2016,sin_balanceo,100,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,12867.0
2016,submuestreo,5,0.6082247787236276,65.0,122.0,125.0,87758.0,187.0,88070.0,0.34759358288770054,0.34210526315789475,0.3448275862068966,21.23311002611559,747.0
2016,submuestreo,10,0.5375463996969455,104.0,382.0,86.0,87498.0,486.0,88070.0,0.2139917695473251,0.5473684210526316,0.3076923076923077,55.18337685931645,1242.0
2016,submuestreo,25,0.5189304084629085,110.0,486.0,80.0,87394.0,596.0,88070.0,0.18456375838926176,0.5789473684210527,0.27989821882951654,67.67344158056092,2486.0
2016,submuestreo,50,0.43272419993629385,132.0,1360.0,58.0,86520.0,1492.0,88070.0,0.08847184986595175,0.6947368421052632,0.15695600475624258,169.4106960372431,4260.0
2016,submuestreo,100,0.4065517191864897,140.0,1853.0,50.0,86027.0,1993.0,88070.0,0.07024586051179127,0.7368421052631579,0.1282638570774164,226.29726354036563,6853.0
2016,smotenc,5,0.5708684424065286,61.0,169.0,129.0,87711.0,230.0,88070.0,0.26521739130434785,0.32105263157894737,0.2904761904761905,26.115589871692972,814.0
2016,smotenc,10,0.5271774704782441,79.0,290.0,111.0,87590.0,369.0,88070.0,0.2140921409214092,0.41578947368421054,0.2826475849731664,41.898489837629164,1400.0
2016,smotenc,25,0.4044515371415137,115.0,839.0,75.0,87041.0,954.0,88070.0,0.12054507337526206,0.6052631578947368,0.20104895104895104,108.32292494606563,2714.0
2016,smotenc,50,0.35343942629515934,128.0,1224.0,62.0,86656.0,1352.0,88070.0,0.09467455621301775,0.6736842105263158,0.16601815823605706,153.51425002838653,4324.0
2016,smotenc,100,0.3361464668481483,132.0,1460.0,58.0,86420.0,1592.0,88070.0,0.0829145728643216,0.6947368421052632,0.14814814814814814,180.76530032928352,7260.0
2016,pesos_clase,5,0.7034533354090238,68.0,150.0,122.0,87730.0,218.0,88070.0,0.3119266055045872,0.35789473684210527,0.3333333333333333,24.753037356648118,760.0
2016,pesos_clase,10,0.6678321622439813,84.0,258.0,106.0,87622.0,342.0,88070.0,0.24561403508771928,0.4421052631578947,0.3157894736842105,38.83274667877824,1318.0
2016,pesos_clase,25,0.5583903761054154,123.0,717.0,67.0,87163.0,840.0,88070.0,0.14642857142857144,0.6473684210526316,0.23883495145631067,95.37867605313956,2392.0
2016,pesos_clase,50,0.49283468672465014,145.0,1568.0,45.0,86312.0,1713.0,88070.0,0.0846468184471687,0.7631578947368421,0.15239096163951654,194.50437152265243,3818.0
