evaluation_year,candidate,round_validation,cost_fn,threshold_validation,tp_validation,fp_validation,fn_validation,tn_validation,alerts_validation,rows_validation,precision_validation,recall_validation,f1_validation,alerts_per_10000_validation,cost_validation,pool,round_evaluation,policy,threshold_evaluation,tp_evaluation,fp_evaluation,fn_evaluation,tn_evaluation,rows_evaluation,precision_evaluation,recall_evaluation,f1_evaluation,alerts_evaluation,alerts_per_10000_evaluation,fp_per_10000,cost_evaluation,average_precision,roc_auc
2015,rf_profundo,R2_new_fit,50,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,945,R2,R2_new_fit,costo,0.1,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,26432,0.42421844919856755,0.794637034951968
2015,rf_profundo,R2_new_fit,50,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,945,todas,R2_new_fit,costo,0.1,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,26432,0.42421844919856755,0.794637034951968
2015,r1_sin_balanceo,R1_rethresholded_common_validation,100,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671,R1,R1_rethresholded_common_validation,costo,0.016519726771066157,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,31058,0.3758950793807244,0.8022092326857198
2015,rf_profundo,R2_new_fit,100,0.03,41.0,452.0,12.0,86158.0,493.0,86663.0,0.08316430020283976,0.7735849056603774,0.15018315018315018,56.887022143244515,1652,R2,R2_new_fit,costo,0.03,136,25350,54,62530,88070,0.005336263046378404,0.7157894736842105,0.01059355039725814,25486,2893.834449869422,2878.392188032247,30750,0.42421844919856755,0.794637034951968
2015,rf_profundo,R2_new_fit,100,0.03,41.0,452.0,12.0,86158.0,493.0,86663.0,0.08316430020283976,0.7735849056603774,0.15018315018315018,56.887022143244515,1652,todas,R2_new_fit,costo,0.03,136,25350,54,62530,88070,0.005336263046378404,0.7157894736842105,0.01059355039725814,25486,2893.834449869422,2878.392188032247,30750,0.42421844919856755,0.794637034951968
2016,r1_sin_balanceo,R1_rethresholded_common_validation,5,0.29884679655198515,42.0,0.0,91.0,44286.0,42.0,44419.0,1.0,0.3157894736842105,0.48,9.455413224070782,455,R1,R1_rethresholded_common_validation,costo,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,768,0.32888940597470256,0.807372970357181
2016,rf_profundo,R2_new_fit,5,0.2,79.0,5.0,54.0,44281.0,84.0,44419.0,0.9404761904761905,0.5939849624060151,0.728110599078341,18.910826448141563,275,R2,R2_new_fit,costo,0.2,118,21,108,87538,87785,0.8489208633093526,0.5221238938053098,0.6465753424657534,139,15.834140228968502,2.3922082360312125,561,0.625943658310943,0.9140055448831619
2016,rf_profundo,R2_new_fit,5,0.2,79.0,5.0,54.0,44281.0,84.0,44419.0,0.9404761904761905,0.5939849624060151,0.728110599078341,18.910826448141563,275,todas,R2_new_fit,costo,0.2,118,21,108,87538,87785,0.8489208633093526,0.5221238938053098,0.6465753424657534,139,15.834140228968502,2.3922082360312125,561,0.625943658310943,0.9140055448831619
2016,r1_submuestreo,R1_rethresholded_common_validation,10,0.5287551340825523,74.0,226.0,59.0,44060.0,300.0,44419.0,0.24666666666666667,0.556390977443609,0.3418013856812933,67.53866588621986,816,R1,R1_rethresholded_common_validation,costo,0.5287551340825523,117,417,109,87142,87785,0.21910112359550563,0.5176991150442478,0.3078947368421053,534,60.83043800193655,47.50242068690551,1507,0.27891757591314936,0.9157471265645708
2016,rf_variables_revisadas,R2_new_fit,10,0.025249642946088904,89.0,63.0,44.0,44223.0,152.0,44419.0,0.5855263157894737,0.6691729323308271,0.624561403508772,34.21959071568473,503,R2,R2_new_fit,costo,0.025249642946088904,146,130,80,87429,87785,0.5289855072463768,0.6460176991150443,0.5816733067729084,276,31.44045110212451,14.808908127812268,930,0.6445929816402455,0.9653785912447201
2016,rf_variables_revisadas,R2_new_fit,10,0.025249642946088904,89.0,63.0,44.0,44223.0,152.0,44419.0,0.5855263157894737,0.6691729323308271,0.624561403508772,34.21959071568473,503,todas,R2_new_fit,costo,0.025249642946088904,146,130,80,87429,87785,0.5289855072463768,0.6460176991150443,0.5816733067729084,276,31.44045110212451,14.808908127812268,930,0.6445929816402455,0.9653785912447201
2016,r1_pesos_clase,R1_rethresholded_common_validation,25,0.5237488313730959,95.0,544.0,38.0,43742.0,639.0,44419.0,0.1486697965571205,0.7142857142857143,0.24611398963730569,143.8573583376483,1494,R1,R1_rethresholded_common_validation,costo,0.5237488313730959,159,879,67,86680,87785,0.1531791907514451,0.7035398230088495,0.25158227848101267,1038,118.24343566668566,100.13100187959219,2554,0.24991894423517483,0.9143910750647326
2016,rf_variables_revisadas,R2_new_fit,25,0.01171670941011998,102.0,314.0,31.0,43972.0,416.0,44419.0,0.24519230769230768,0.7669172932330827,0.37158469945355194,93.65361669555821,1089,R2,R2_new_fit,costo,0.01171670941011998,167,566,59,86993,87785,0.22783083219645292,0.7389380530973452,0.3482794577685089,733,83.49945890527995,64.47570769493649,2041,0.6445929816402455,0.9653785912447201
2016,rf_variables_revisadas,R2_new_fit,25,0.01171670941011998,102.0,314.0,31.0,43972.0,416.0,44419.0,0.24519230769230768,0.7669172932330827,0.37158469945355194,93.65361669555821,1089,todas,R2_new_fit,costo,0.01171670941011998,167,566,59,86993,87785,0.22783083219645292,0.7389380530973452,0.3482794577685089,733,83.49945890527995,64.47570769493649,2041,0.6445929816402455,0.9653785912447201
2016,r1_pesos_clase,R1_rethresholded_common_validation,50,0.4951074610887753,102.0,801.0,31.0,43485.0,903.0,44419.0,0.11295681063122924,0.7669172932330827,0.1969111969111969,203.2913843175218,2351,R1,R1_rethresholded_common_validation,costo,0.4951074610887753,167,1297,59,86262,87785,0.11407103825136612,0.7389380530973452,0.19763313609467456,1464,166.7710884547474,147.74733724440395,4247,0.24991894423517483,0.9143910750647326
2016,rf_variables_revisadas,R2_new_fit,50,0.010110126824953327,106.0,461.0,27.0,43825.0,567.0,44419.0,0.18694885361552027,0.7969924812030075,0.3028571428571429,127.64807852495552,1811,R2,R2_new_fit,costo,0.010110126824953327,173,851,53,86708,87785,0.1689453125,0.7654867256637168,0.2768,1024,116.64863017599818,96.94139089821724,3501,0.6445929816402455,0.9653785912447201
2016,rf_variables_revisadas,R2_new_fit,50,0.010110126824953327,106.0,461.0,27.0,43825.0,567.0,44419.0,0.18694885361552027,0.7969924812030075,0.3028571428571429,127.64807852495552,1811,todas,R2_new_fit,costo,0.010110126824953327,173,851,53,86708,87785,0.1689453125,0.7654867256637168,0.2768,1024,116.64863017599818,96.94139089821724,3501,0.6445929816402455,0.9653785912447201
2016,r1_pesos_clase,R1_rethresholded_common_validation,100,0.4537351976851113,108.0,1357.0,25.0,42929.0,1465.0,44419.0,0.07372013651877134,0.8120300751879699,0.13516896120150187,329.8138184110403,3857,R1,R1_rethresholded_common_validation,costo,0.4537351976851113,177,2325,49,85234,87785,0.07074340527577938,0.7831858407079646,0.12976539589442815,2502,285.01452412143306,264.8516261320271,7225,0.24991894423517483,0.9143910750647326
2016,rf_variables_revisadas,R2_new_fit,100,0.008048879805686738,112.0,873.0,21.0,43413.0,985.0,44419.0,0.11370558375634518,0.8421052631578947,0.2003577817531306,221.75195299308854,2973,R2,R2_new_fit,costo,0.008048879805686738,182,1688,44,85871,87785,0.09732620320855614,0.8053097345132744,0.1736641221374046,1870,213.02044768468417,192.287976305747,6088,0.6445929816402455,0.9653785912447201
2016,rf_variables_revisadas,R2_new_fit,100,0.008048879805686738,112.0,873.0,21.0,43413.0,985.0,44419.0,0.11370558375634518,0.8421052631578947,0.2003577817531306,221.75195299308854,2973,todas,R2_new_fit,costo,0.008048879805686738,182,1688,44,85871,87785,0.09732620320855614,0.8053097345132744,0.1736641221374046,1870,213.02044768468417,192.287976305747,6088,0.6445929816402455,0.9653785912447201
2019,r1_sin_balanceo,R1_rethresholded_common_validation,5,0.12882591455025527,3.0,6.0,66.0,44281.0,9.0,44356.0,0.3333333333333333,0.043478260869565216,0.07692307692307693,2.029037785192533,336,R1,R1_rethresholded_common_validation,costo,0.12882591455025527,1,9,122,73316,73448,0.1,0.008130081300813009,0.015037593984962405,10,1.3615074610608866,1.225356714954798,619,0.0120375294427629,0.671539171579919
2019,rf_variables_revisadas,R2_new_fit,5,0.05518371506744926,8.0,16.0,61.0,44271.0,24.0,44356.0,0.3333333333333333,0.11594202898550725,0.17204301075268819,5.4107674271800885,321,R2,R2_new_fit,costo,0.05518371506744926,3,27,120,73298,73448,0.1,0.024390243902439025,0.0392156862745098,30,4.08452238318266,3.676070144864394,627,0.01564293241081788,0.714756943000729
2019,rf_variables_revisadas,R2_new_fit,5,0.05518371506744926,8.0,16.0,61.0,44271.0,24.0,44356.0,0.3333333333333333,0.11594202898550725,0.17204301075268819,5.4107674271800885,321,todas,R2_new_fit,costo,0.05518371506744926,3,27,120,73298,73448,0.1,0.024390243902439025,0.0392156862745098,30,4.08452238318266,3.676070144864394,627,0.01564293241081788,0.714756943000729
2019,r1_sin_balanceo,R1_rethresholded_common_validation,10,0.12882591455025527,3.0,6.0,66.0,44281.0,9.0,44356.0,0.3333333333333333,0.043478260869565216,0.07692307692307693,2.029037785192533,666,R1,R1_rethresholded_common_validation,costo,0.12882591455025527,1,9,122,73316,73448,0.1,0.008130081300813009,0.015037593984962405,10,1.3615074610608866,1.225356714954798,1229,0.0120375294427629,0.671539171579919
2019,rf_variables_revisadas,R2_new_fit,10,0.04583877685873359,9.0,21.0,60.0,44266.0,30.0,44356.0,0.3,0.13043478260869565,0.18181818181818182,6.763459283975111,621,R2,R2_new_fit,costo,0.04583877685873359,4,37,119,73288,73448,0.0975609756097561,0.032520325203252036,0.04878048780487805,41,5.582180590349635,5.03757760592528,1227,0.01564293241081788,0.714756943000729
2019,rf_variables_revisadas,R2_new_fit,10,0.04583877685873359,9.0,21.0,60.0,44266.0,30.0,44356.0,0.3,0.13043478260869565,0.18181818181818182,6.763459283975111,621,todas,R2_new_fit,costo,0.04583877685873359,4,37,119,73288,73448,0.0975609756097561,0.032520325203252036,0.04878048780487805,41,5.582180590349635,5.03757760592528,1227,0.01564293241081788,0.714756943000729
2019,r1_sin_balanceo,R1_rethresholded_common_validation,25,0.01809906690438387,10.0,124.0,59.0,44163.0,134.0,44356.0,0.07462686567164178,0.14492753623188406,0.09852216748768473,30.210118135088827,1599,R1,R1_rethresholded_common_validation,costo,0.01809906690438387,11,215,112,73110,73448,0.048672566371681415,0.08943089430894309,0.06303724928366762,226,30.770068619976037,29.272410412809062,3015,0.0120375294427629,0.671539171579919
2019,rf_actualizado,R2_new_fit,25,0.02046171411871807,14.0,93.0,55.0,44194.0,107.0,44356.0,0.1308411214953271,0.2028985507246377,0.1590909090909091,24.123004779511227,1468,R2,R2_new_fit,costo,0.02046171411871807,12,160,111,73165,73448,0.06976744186046512,0.0975609756097561,0.08135593220338982,172,23.41792833024725,21.784119376974186,2935,0.02181822089145973,0.7225186897624175
2019,rf_actualizado,R2_new_fit,25,0.02046171411871807,14.0,93.0,55.0,44194.0,107.0,44356.0,0.1308411214953271,0.2028985507246377,0.1590909090909091,24.123004779511227,1468,todas,R2_new_fit,costo,0.02046171411871807,12,160,111,73165,73448,0.06976744186046512,0.0975609756097561,0.08135593220338982,172,23.41792833024725,21.784119376974186,2935,0.02181822089145973,0.7225186897624175
2019,r1_sin_balanceo,R1_rethresholded_common_validation,50,0.012661664476534901,15.0,284.0,54.0,44003.0,299.0,44356.0,0.05016722408026756,0.21739130434782608,0.08152173913043478,67.40914419695193,2984,R1,R1_rethresholded_common_validation,costo,0.012661664476534901,13,452,110,72873,73448,0.02795698924731183,0.10569105691056911,0.04421768707482993,465,63.310096939331224,61.540137239952074,5952,0.0120375294427629,0.671539171579919
2019,rf_actualizado,R2_new_fit,50,0.014357903872303419,17.0,202.0,52.0,44085.0,219.0,44356.0,0.0776255707762557,0.2463768115942029,0.11805555555555555,49.37325277301831,2802,R2,R2_new_fit,costo,0.014357903872303419,17,347,106,72978,73448,0.046703296703296704,0.13821138211382114,0.06981519507186858,364,49.55887158261627,47.24430889881277,5647,0.02181822089145973,0.7225186897624175
2019,rf_actualizado,R2_new_fit,50,0.014357903872303419,17.0,202.0,52.0,44085.0,219.0,44356.0,0.0776255707762557,0.2463768115942029,0.11805555555555555,49.37325277301831,2802,todas,R2_new_fit,costo,0.014357903872303419,17,347,106,72978,73448,0.046703296703296704,0.13821138211382114,0.06981519507186858,364,49.55887158261627,47.24430889881277,5647,0.02181822089145973,0.7225186897624175
2019,r1_sin_balanceo,R1_rethresholded_common_validation,100,0.012661664476534901,15.0,284.0,54.0,44003.0,299.0,44356.0,0.05016722408026756,0.21739130434782608,0.08152173913043478,67.40914419695193,5684,R1,R1_rethresholded_common_validation,costo,0.012661664476534901,13,452,110,72873,73448,0.02795698924731183,0.10569105691056911,0.04421768707482993,465,63.310096939331224,61.540137239952074,11452,0.0120375294427629,0.671539171579919
2019,rf_actualizado,R2_new_fit,100,0.014357903872303419,17.0,202.0,52.0,44085.0,219.0,44356.0,0.0776255707762557,0.2463768115942029,0.11805555555555555,49.37325277301831,5402,R2,R2_new_fit,costo,0.014357903872303419,17,347,106,72978,73448,0.046703296703296704,0.13821138211382114,0.06981519507186858,364,49.55887158261627,47.24430889881277,10947,0.02181822089145973,0.7225186897624175
2019,rf_actualizado,R2_new_fit,100,0.014357903872303419,17.0,202.0,52.0,44085.0,219.0,44356.0,0.0776255707762557,0.2463768115942029,0.11805555555555555,49.37325277301831,5402,todas,R2_new_fit,costo,0.014357903872303419,17,347,106,72978,73448,0.046703296703296704,0.13821138211382114,0.06981519507186858,364,49.55887158261627,47.24430889881277,10947,0.02181822089145973,0.7225186897624175
