evaluation_year,candidate,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,recall,precision,alerts,alerts_per_10000,cost_fn10,cost_fn100
2015,r1_smotenc,100,0.40176406530730474,34,800,0.6415094339622641,96.23484070479904,120,812,70,87068,0.631578947368421,0.12875536480686695,932,105.82491200181674,1512,7812
2015,r1_smotenc,250,0.290178178114924,42,1945,0.7924528301886793,229.27893103169748,148,5093,42,82787,0.7789473684210526,0.02823888570883419,5241,595.0948109458385,5513,9293
2015,r1_submuestreo,10,0.7025445412388028,9,66,0.16981132075471697,8.654212293597036,35,44,155,87836,0.18421052631578946,0.4430379746835443,79,8.970137390711933,1594,15544
2015,r1_submuestreo,25,0.6520989047438102,17,184,0.32075471698113206,23.19328894684006,60,140,130,87740,0.3157894736842105,0.3,200,22.709208584080844,1440,13140
2015,r1_submuestreo,50,0.6227897826602833,21,281,0.39622641509433965,34.84762816888407,73,247,117,87633,0.38421052631578945,0.228125,320,36.33473373452935,1417,11947
2015,r1_submuestreo,100,0.5341086893376165,25,817,0.4716981132075472,97.15795668278274,113,793,77,87087,0.5947368421052631,0.12472406181015452,906,102.87271488588623,1563,8493
2015,r1_submuestreo,250,0.4146168888666618,38,2104,0.7169811320754716,247.16430310513138,135,2892,55,84988,0.7105263157894737,0.044598612487611496,3027,343.7038719200636,3442,8392
2015,rf_actualizado,10,0.05199335280409059,33,46,0.6226415094339622,9.115770282588878,104,20494,86,67386,0.5473684210526316,0.005049033886785125,20598,2338.821392074486,21354,29094
2015,rf_actualizado,25,0.03486747089269901,35,94,0.660377358490566,14.885245144986904,118,22432,72,65448,0.6210526315789474,0.005232815964523282,22550,2560.463267855115,23152,29632
2015,rf_actualizado,50,0.016519726771066157,40,371,0.7547169811320755,47.42508336891176,126,24658,64,63222,0.6631578947368421,0.005083925112976113,24784,2814.1251277392985,25298,31058
2015,rf_actualizado,100,0.014666496250101906,41,484,0.7735849056603774,60.57948605517925,128,24909,62,62971,0.6736842105263158,0.005112433598274554,25037,2842.8522765981606,25529,31109
2015,rf_actualizado,250,0.008892138596922438,46,1793,0.8679245283018868,212.20128543899932,153,26936,37,60944,0.8052631578947368,0.005648049023588911,27089,3075.84875667083,27306,30636
2015,rf_peso10_reciente,10,0.13736302291125613,23,42,0.4339622641509434,7.500317321117431,70,9325,120,78555,0.3684210526315789,0.007450771687067589,9395,1066.7650732371976,10525,21325
2015,rf_peso10_reciente,25,0.07732997574740966,30,178,0.5660377358490566,24.00101542757578,106,12432,84,75448,0.5578947368421052,0.008454298931249002,12538,1423.6402861360282,13272,20832
2015,rf_peso10_reciente,50,0.05841691969814418,33,384,0.6226415094339622,48.11742035239952,114,13967,76,73913,0.6,0.008096015907961083,14081,1598.8418303622118,14727,21567
2015,rf_peso10_reciente,100,0.04241522351803682,37,767,0.6981132075471698,92.77315578736024,132,17920,58,69960,0.6947368421052632,0.007312209173498781,18052,2049.733166799137,18500,23720
2015,rf_peso10_reciente,250,0.0262049565323113,44,1986,0.8301886792452831,234.2406794133598,154,25483,36,62397,0.8105263157894737,0.00600694309006514,25637,2910.979902350403,25843,29083
2015,rf_profundo,10,0.1,35,45,0.660377358490566,9.231159779836839,119,22882,71,64998,0.6263157894736842,0.005173688100517369,23001,2611.6725332122173,23592,29982
2015,rf_profundo,25,0.06,36,132,0.6792452830188679,19.38543553765736,127,23885,63,63995,0.6684210526315789,0.0052890221555888725,24012,2726.4675826047464,24515,30185
2015,rf_profundo,50,0.035,39,350,0.7358490566037735,44.88651442945663,130,24910,60,62970,0.6842105263157895,0.005191693290734824,25040,2843.1929147269216,25510,30910
