evaluation_year,candidate,round,cost_fn,capacity_per_10000,threshold,validation_tp,validation_fp,validation_fn,validation_cost,validation_alerts_per_10000,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost
2015,r1_sin_balanceo,R1_rethresholded_common_validation,25,10,0.05199335280409059,33.0,46.0,20.0,546,9.115770282588878,104,20494,86,67386,88070,0.005049033886785125,0.5473684210526316,0.010005772561092939,20598,2338.821392074486,2327.012603610764,22644
2015,r1_sin_balanceo,R1_rethresholded_common_validation,25,25,0.04657407529033146,34.0,54.0,19.0,529,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823
2015,r1_sin_balanceo,R1_rethresholded_common_validation,25,50,0.04657407529033146,34.0,54.0,19.0,529,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823
2015,r1_sin_balanceo,R1_rethresholded_common_validation,25,100,0.04657407529033146,34.0,54.0,19.0,529,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823
2015,r1_sin_balanceo,R1_rethresholded_common_validation,25,250,0.04657407529033146,34.0,54.0,19.0,529,10.154275757820525,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823
2015,r1_sin_balanceo,R1_rethresholded_common_validation,50,10,0.05199335280409059,33.0,46.0,20.0,1046,9.115770282588878,104,20494,86,67386,88070,0.005049033886785125,0.5473684210526316,0.010005772561092939,20598,2338.821392074486,2327.012603610764,24794
2015,r1_sin_balanceo,R1_rethresholded_common_validation,50,25,0.03486747089269901,35.0,94.0,18.0,994,14.885245144986904,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032
2015,r1_sin_balanceo,R1_rethresholded_common_validation,50,50,0.03486747089269901,35.0,94.0,18.0,994,14.885245144986904,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032
2015,r1_sin_balanceo,R1_rethresholded_common_validation,50,100,0.03486747089269901,35.0,94.0,18.0,994,14.885245144986904,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032
2015,r1_sin_balanceo,R1_rethresholded_common_validation,50,250,0.03486747089269901,35.0,94.0,18.0,994,14.885245144986904,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032
2015,r1_sin_balanceo,R1_rethresholded_common_validation,100,10,0.05199335280409059,33.0,46.0,20.0,2046,9.115770282588878,104,20494,86,67386,88070,0.005049033886785125,0.5473684210526316,0.010005772561092939,20598,2338.821392074486,2327.012603610764,29094
2015,r1_sin_balanceo,R1_rethresholded_common_validation,100,25,0.03486747089269901,35.0,94.0,18.0,1894,14.885245144986904,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,29632
2015,r1_sin_balanceo,R1_rethresholded_common_validation,100,50,0.016519726771066157,40.0,371.0,13.0,1671,47.42508336891176,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,31058
2015,r1_sin_balanceo,R1_rethresholded_common_validation,100,100,0.016519726771066157,40.0,371.0,13.0,1671,47.42508336891176,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,31058
