evaluation_year,cost_fn,reference,context_variant,threshold_reference,threshold_context,tp_reference,tp_context,fp_reference,fp_context,fn_reference,fn_context,recall_reference,recall_context,precision_reference,precision_context,cost_reference,cost_context
2019,5,rf_actualizado,rf_actualizado_contexto,0.032894580458510195,0.24184335899839163,10,0,65,1,113,123,0.08130081300813008,0.0,0.13333333333333333,0.0,630,616
2019,10,rf_actualizado,rf_actualizado_contexto,0.032894580458510195,0.24184335899839163,10,0,65,1,113,123,0.08130081300813008,0.0,0.13333333333333333,0.0,1195,1231
2019,25,rf_actualizado,rf_actualizado_contexto,0.02046171411871807,0.24184335899839163,12,0,160,1,111,123,0.0975609756097561,0.0,0.06976744186046512,0.0,2935,3076
2019,50,rf_actualizado,rf_actualizado_contexto,0.014357903872303419,0.24184335899839163,17,0,347,1,106,123,0.13821138211382114,0.0,0.046703296703296704,0.0,5647,6151
2019,100,rf_actualizado,rf_actualizado_contexto,0.014357903872303419,0.24184335899839163,17,0,347,1,106,123,0.13821138211382114,0.0,0.046703296703296704,0.0,10947,12301
2015,5,rf_variables_revisadas,rf_revisado_contexto,0.09685060737076817,0.30291757319936435,94,47,19,0,96,143,0.49473684210526314,0.24736842105263157,0.831858407079646,1.0,499,715
2015,10,rf_variables_revisadas,rf_revisado_contexto,0.09685060737076817,0.30291757319936435,94,47,19,0,96,143,0.49473684210526314,0.24736842105263157,0.831858407079646,1.0,979,1430
2015,25,rf_variables_revisadas,rf_revisado_contexto,0.04069334713831837,0.24297583520944419,111,54,79,234,79,136,0.5842105263157895,0.28421052631578947,0.5842105263157895,0.1875,2054,3634
2015,50,rf_variables_revisadas,rf_revisado_contexto,0.04069334713831837,0.24297583520944419,111,54,79,234,79,136,0.5842105263157895,0.28421052631578947,0.5842105263157895,0.1875,4029,7034
2015,100,rf_variables_revisadas,rf_revisado_contexto,0.022685844002530667,0.03417797885486898,115,115,220,3543,75,75,0.6052631578947368,0.6052631578947368,0.34328358208955223,0.03143794423182067,7720,11043
2016,5,rf_variables_revisadas,rf_revisado_contexto,0.048107791790953695,0.2783823226253917,130,61,51,3,96,165,0.5752212389380531,0.26991150442477874,0.7182320441988951,0.953125,531,828
2016,10,rf_variables_revisadas,rf_revisado_contexto,0.025249642946088904,0.2783823226253917,146,61,130,3,80,165,0.6460176991150443,0.26991150442477874,0.5289855072463768,0.953125,930,1653
2016,25,rf_variables_revisadas,rf_revisado_contexto,0.01171670941011998,0.26931538683661244,167,62,566,35,59,164,0.7389380530973452,0.2743362831858407,0.22783083219645292,0.6391752577319587,2041,4135
2016,50,rf_variables_revisadas,rf_revisado_contexto,0.010110126824953327,0.009009059411499484,173,189,851,5851,53,37,0.7654867256637168,0.8362831858407079,0.1689453125,0.03129139072847682,3501,7701
2016,100,rf_variables_revisadas,rf_revisado_contexto,0.008048879805686738,0.007491371199675679,182,199,1688,6716,44,27,0.8053097345132744,0.8805309734513275,0.09732620320855614,0.028778018799710772,6088,9416
2019,5,rf_variables_revisadas,rf_revisado_contexto,0.05518371506744926,0.5866157685766069,3,0,27,0,120,123,0.024390243902439025,0.0,0.1,0.0,627,615
2019,10,rf_variables_revisadas,rf_revisado_contexto,0.04583877685873359,0.5866157685766069,4,0,37,0,119,123,0.032520325203252036,0.0,0.0975609756097561,0.0,1227,1230
2019,25,rf_variables_revisadas,rf_revisado_contexto,0.04583877685873359,0.5866157685766069,4,0,37,0,119,123,0.032520325203252036,0.0,0.0975609756097561,0.0,3012,3075
2019,50,rf_variables_revisadas,rf_revisado_contexto,0.01143784137545792,0.5866157685766069,15,0,387,0,108,123,0.12195121951219512,0.0,0.03731343283582089,0.0,5787,6150
2019,100,rf_variables_revisadas,rf_revisado_contexto,0.009295631692922407,0.016323970016141304,18,19,761,4471,105,104,0.14634146341463414,0.15447154471544716,0.023106546854942234,0.004231625835189309,11261,14871
