evaluation_year,candidate,round,cost_fn,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,average_precision
2015,rf_profundo,previous,50,0.1,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,26432,0.42421844919856755
2015,rf_profundo,previous,100,0.03,136,25350,54,62530,88070,0.005336263046378404,0.7157894736842105,0.01059355039725814,25486,2893.834449869422,2878.392188032247,30750,0.42421844919856755
2015,rf_reciente_3a,previous,5,0.06797182086719077,86,8323,104,79557,88070,0.010227137590676656,0.45263157894736844,0.020002325851843236,8409,954.8086749176791,945.0437152265243,8843,0.24020311898191274
2015,rf_reciente_3a,previous,10,0.05141784671162139,99,11056,91,76824,88070,0.008874943971313312,0.5210526315789473,0.01745262230057294,11155,1266.606108777109,1255.365050527989,11966,0.24020311898191274
2015,rf_reciente_3a,previous,25,0.05141784671162139,99,11056,91,76824,88070,0.008874943971313312,0.5210526315789473,0.01745262230057294,11155,1266.606108777109,1255.365050527989,13331,0.24020311898191274
2015,rf_reciente_3a,previous,50,0.05141784671162139,99,11056,91,76824,88070,0.008874943971313312,0.5210526315789473,0.01745262230057294,11155,1266.606108777109,1255.365050527989,15606,0.24020311898191274
2015,rf_reciente_3a,previous,100,0.018910813197842633,120,17155,70,70725,88070,0.006946454413892909,0.631578947368421,0.013741769252791297,17275,1961.507891449983,1947.8823662995344,24155,0.24020311898191274
2015,rf_reciente_profundo,previous,5,0.105,100,14230,90,73650,88070,0.006978367062107467,0.5263157894736842,0.013774104683195593,14330,1627.1147950493926,1615.7601907573521,14680,0.278469905035142
2015,rf_reciente_profundo,previous,10,0.08,108,15895,82,71985,88070,0.006748734612260201,0.5684210526315789,0.013339097140739825,16003,1817.0773248552289,1804.8143522198252,16715,0.278469905035142
2015,rf_reciente_profundo,previous,25,0.08,108,15895,82,71985,88070,0.006748734612260201,0.5684210526315789,0.013339097140739825,16003,1817.0773248552289,1804.8143522198252,17945,0.278469905035142
2015,rf_reciente_profundo,previous,50,0.045,122,20181,68,67699,88070,0.0060089641924838694,0.6421052631578947,0.011906504660127848,20303,2305.325309412967,2291.472692176678,23581,0.278469905035142
2015,rf_reciente_profundo,previous,100,0.045,122,20181,68,67699,88070,0.0060089641924838694,0.6421052631578947,0.011906504660127848,20303,2305.325309412967,2291.472692176678,26981,0.278469905035142
2015,rf_revisado_reciente,previous,5,0.18029182065217428,54,4,136,87876,88070,0.9310344827586207,0.28421052631578947,0.43548387096774194,58,6.585670489383445,0.4541841716816169,684,0.5146521977655154
2015,rf_revisado_reciente,previous,10,0.18029182065217428,54,4,136,87876,88070,0.9310344827586207,0.28421052631578947,0.43548387096774194,58,6.585670489383445,0.4541841716816169,1364,0.5146521977655154
2015,rf_revisado_reciente,previous,25,0.08402718726896552,98,97,92,87783,88070,0.5025641025641026,0.5157894736842106,0.509090909090909,195,22.141478369478822,11.01396616327921,2397,0.5146521977655154
2015,rf_revisado_reciente,previous,50,0.06970492875311661,107,178,83,87702,88070,0.37543859649122807,0.5631578947368421,0.45052631578947366,285,32.3606222323152,20.211195639831953,4328,0.5146521977655154
2015,rf_revisado_reciente,previous,100,0.05579256167442777,116,328,74,87552,88070,0.26126126126126126,0.6105263157894737,0.3659305993690852,444,50.41444305665947,37.24310207789259,7728,0.5146521977655154
2015,rf_variables_revisadas,previous,5,0.09685060737076817,94,19,96,87861,88070,0.831858407079646,0.49473684210526314,0.6204620462046204,113,12.830702850005677,2.1573748154876804,499,0.6009575745672405
2015,rf_variables_revisadas,previous,10,0.09685060737076817,94,19,96,87861,88070,0.831858407079646,0.49473684210526314,0.6204620462046204,113,12.830702850005677,2.1573748154876804,979,0.6009575745672405
2015,rf_variables_revisadas,previous,25,0.04069334713831837,111,79,79,87801,88070,0.5842105263157895,0.5842105263157895,0.5842105263157895,190,21.573748154876803,8.970137390711933,2054,0.6009575745672405
2015,rf_variables_revisadas,previous,50,0.04069334713831837,111,79,79,87801,88070,0.5842105263157895,0.5842105263157895,0.5842105263157895,190,21.573748154876803,8.970137390711933,4029,0.6009575745672405
2015,rf_variables_revisadas,previous,100,0.022685844002530667,115,220,75,87660,88070,0.34328358208955223,0.6052631578947368,0.4380952380952381,335,38.03792437833542,24.98012944248893,7720,0.6009575745672405
2015,rf_actualizado_contexto,new_context,5,0.24441381924787872,55,308,135,87572,88070,0.15151515151515152,0.2894736842105263,0.19891500904159132,363,41.21721358010673,34.972181219484504,983,0.2843721318273285
2015,rf_actualizado_contexto,new_context,10,0.22222171468797722,58,1938,132,85942,88070,0.02905811623246493,0.30526315789473685,0.053064958828911254,1996,226.63790166912682,220.0522311797434,3258,0.2843721318273285
2015,rf_actualizado_contexto,new_context,25,0.22222171468797722,58,1938,132,85942,88070,0.02905811623246493,0.30526315789473685,0.053064958828911254,1996,226.63790166912682,220.0522311797434,5238,0.2843721318273285
2015,rf_actualizado_contexto,new_context,50,0.205788967497016,62,3304,128,84576,88070,0.0184194890077243,0.3263157894736842,0.03487064116985377,3366,382.1959804700806,375.1561258090156,9704,0.2843721318273285
2015,rf_actualizado_contexto,new_context,100,0.205788967497016,62,3304,128,84576,88070,0.0184194890077243,0.3263157894736842,0.03487064116985377,3366,382.1959804700806,375.1561258090156,16104,0.2843721318273285
2015,rf_revisado_contexto,new_context,5,0.30291757319936435,47,0,143,87880,88070,1.0,0.24736842105263157,0.39662447257383965,47,5.3366640172589985,0.0,715,0.29052286621673457
2015,rf_revisado_contexto,new_context,10,0.30291757319936435,47,0,143,87880,88070,1.0,0.24736842105263157,0.39662447257383965,47,5.3366640172589985,0.0,1430,0.29052286621673457
2015,rf_revisado_contexto,new_context,25,0.24297583520944419,54,234,136,87646,88070,0.1875,0.28421052631578947,0.22594142259414227,288,32.701260361076415,26.56977404337459,3634,0.29052286621673457
2015,rf_revisado_contexto,new_context,50,0.24297583520944419,54,234,136,87646,88070,0.1875,0.28421052631578947,0.22594142259414227,288,32.701260361076415,26.56977404337459,7034,0.29052286621673457
2015,rf_revisado_contexto,new_context,100,0.03417797885486898,115,3543,75,84337,88070,0.03143794423182067,0.6052631578947368,0.059771309771309775,3658,415.35142500283865,402.2936300669922,11043,0.29052286621673457
2016,r1_pesos_clase,previous,5,0.6860147969674639,73,181,153,87378,87785,0.2874015748031496,0.3230088495575221,0.30416666666666664,254,28.93432818818705,20.61855670103093,946,0.24991894423517483
2016,r1_pesos_clase,previous,10,0.5721647531391839,138,506,88,87053,87785,0.21428571428571427,0.6106194690265486,0.31724137931034485,644,73.36105257162386,57.6408270205616,1386,0.24991894423517483
2016,r1_pesos_clase,previous,25,0.5237488313730959,159,879,67,86680,87785,0.1531791907514451,0.7035398230088495,0.25158227848101267,1038,118.24343566668566,100.13100187959219,2554,0.24991894423517483
